hotel_name,hotel_rating,city,amenities,hotel_price
Anies Garden | Rooms in a Homestay,4.3,Trivandrum,"Sleeps 5, 2 bedrooms, Air conditioning, Fireplace, Cable TV, Paid parking, Free Wi-Fi, No crib, No elevator",1645.0
Treebo Trend Goodland Residency,4.1,Trivandrum,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Pet-friendly, Restaurant, Room service, Airport shuttle",4265.0
Windsor Rajadhani,4.1,Trivandrum,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",4341.0
Backwater Ripples,4.4,Kumarakom,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant",8968.0
Lakesong Resort,4.2,Kumarakom,"4-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant",11948.0
Abad Whispering Palms | Resort in Kumarakom,4.3,Kumarakom,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant",6921.0
Cocobay Resort,4.2,Kumarakom,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant",6138.0
Paradise Resorts Kumarakom,4.1,Kumarakom,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Spa, Restaurant, Airport shuttle",5148.0
"The Zuri Kumarakom, Kerala Resort & Spa",4.3,Kumarakom,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",13682.0
Saro Lake County,4.0,Kumarakom,"3-star hotel, Free breakfast, Free Wi-Fi, Paid parking, Pool, Air conditioning, Restaurant, Kitchen, Airport shuttle",2945.0
Kumarakom Heritage Resort & Ayurveda,4.1,Kumarakom,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Spa, Bar, Restaurant",5355.0
Rhythm Kumarakom,4.5,Kumarakom,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant",14712.0
Manor Backwater Resort,3.8,Kumarakom,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Kitchen, Full-service laundry",3024.0
ILLIKKALAM Lakeside Cottages,4.1,Kumarakom,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Pet-friendly, Restaurant, Room service, Kitchen",3549.0
KTDC Waterscapes,4.5,Kumarakom,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar",10560.0
Backwater Brook,4.7,Kumarakom,"Free breakfast, Free Wi-Fi, Pool, Restaurant, Kitchen, Full-service laundry, Kid-friendly, 0, 0",5063.0
Gokulam Grand Resort and Spa Kumarakom,4.7,Kumarakom,"Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant, Room service",14059.0
Lily Pad on the Vembanad,4.2,Kumarakom,"3-star hotel, Free breakfast, Free Wi-Fi, Paid parking, Pool, Air conditioning, Spa, Restaurant, Room service",6160.0
Kumarakom Lake Resort,4.8,Kumarakom,"5-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",30267.0
Renai Green Fields,3.8,Kumarakom,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Restaurant, Room service",2849.0
Kumarakom Park Resort,4.3,Kumarakom,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Bar, Restaurant, Room service, Full-service laundry",6726.0
Meenakshi River Villa | Rooms & Wi-Fi,4.5,Kumarakom,"Sleeps 6, 2 bedrooms, Air conditioning, Fireplace, Paid parking, Free Wi-Fi, No crib, No elevator, No fitness center",3488.0
Kumarakom Wood Castle,4.4,Kumarakom,"Sleeps 3, 1 bedroom, Air conditioning, Fireplace, Cable TV, Paid parking, Free Wi-Fi, No crib, No elevator",2861.0
Treebo Trend Kuval Inn,4.2,Pune,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Full-service laundry, Kid-friendly, 0, 0",2084.0
Hotel Corporate Stay,4.0,Pune,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Airport shuttle",2123.0
Jugglers Backpack,4.7,Pune,"Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Room service, Kitchen, Airport shuttle, Full-service laundry, Business center",1116.0
Hyatt Pune,4.4,Pune,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar",9701.0
"The Central Park Hotel, Pune",4.1,Pune,"4-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant",3708.0
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",4.3,Pune,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar",6796.0
Hotel Phoenix,4.0,Pune,"3-star hotel, Free breakfast, Wi-Fi, Paid parking, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry",2752.0
Hotel anvisha executive,4.4,Pune,"0, 0, 0, 0, 0, 0, 0, 0, 0",1067.0
EMA Family Rooms,3.8,Pune,"Sleeps 6, 2 bedrooms, Air conditioning, Fireplace, Kitchen, Cable TV, Paid parking, Free Wi-Fi, No crib",1241.0
JM Four Hotel,3.9,Pune,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry",2550.0
Royal Orchid Central Pune,4.3,Pune,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant",5085.0
"StayBird - B Suite, Business Hotel",4.0,Pune,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Airport shuttle",2512.0
Hotel Sardar,3.5,Pune,"3-star hotel, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Full-service laundry, Kid-friendly",1344.0
Sunny's World,4.2,Pune,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Kitchen, Full-service laundry, Accessible",4549.0
Procida Hostel by Zero Jhanjhat,4.4,Pune,"Breakfast, Free Wi-Fi, Pool, Restaurant, Full-service laundry, 0, 0, 0, 0",921.0
The Oakwood,4.0,Pune,"4-star hotel, Free breakfast, Wi-Fi, Paid parking, Air conditioning, Restaurant, Room service, Kitchen, Full-service laundry",3333.0
Sheraton Grand Pune Bund Garden Hotel,4.5,Pune,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",9435.0
Pratikruti The Lakeview Resort,4.2,Pune,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Restaurant, Room service",1284.0
Hotel Centro,4.4,Pune,"Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Full-service laundry, Accessible, Kid-friendly",2607.0
St Laurn Hotel,3.9,Pune,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Bar, Restaurant, Room service",4381.0
Cherry Tree | Rooms & Wi-Fi,3.6,Pune,"Sleeps 3, 1 bedroom, Air conditioning, Fireplace, Free parking, Free Wi-Fi, No crib, No elevator, No fitness center",1588.0
Fairfield by Marriott Pune Kharadi,4.3,Pune,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Bar, Restaurant, Room service",7280.0
Novotel Chennai Sipcot,4.7,Chennai,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant",5145.0
Park Plaza Chennai OMR,4.1,Chennai,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar",4704.0
Avenue 11 Boutique Residences | Rooms & Caretaker,4.0,Chennai,"Sleeps 8, 3 bedrooms, Air conditioning, Fireplace, Paid parking, Free Wi-Fi, No crib, No elevator, No fitness center",3853.0
"Olive Inn Luxurious 4-BHK Villa with Indoor Swimming Pool, Wifi, BBQ",3.4,Chennai,"Villa, Sleeps 10, 4 bedrooms, 7 bathrooms, Air conditioning, Pool, Kitchen, Smoke-free, Free parking",9753.0
Juhu Beach House ECR,4.5,Chennai,"Free Wi-Fi, Free parking, Pool, Air conditioning, Beach access, Kitchen, Full-service laundry, 0, 0",4965.0
Umino Beach Resort Banquet Hall and Restaurant,4.3,Chennai,"Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Beach access, Restaurant, Room service, Full-service laundry",3677.0
VGP Golden Beach Resort,3.9,Chennai,"2-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Spa, Beach access",4267.0
"Regenta Central RS, Chennai(OMR). 4 Star Hotel",4.2,Chennai,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant, Room service",3366.0
Turyaa Chennai,4.3,Chennai,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar",3797.0
Blue Lagoon Beach Resort,3.9,Chennai,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Room service, Full-service laundry",6402.0
Fairfield by Marriott Chennai OMR,4.2,Chennai,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Bar, Restaurant, Room service",3707.0
Four Points by Sheraton Chennai OMR,4.2,Chennai,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Restaurant, Room service",5053.0
"Taj Club House, Chennai",4.4,Chennai,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Fitness center, Spa",7552.0
"Vivanta Chennai, IT Expressway",4.3,Chennai,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Fitness center, Spa",5485.0
Ilara Hotels & Spa,4.6,Chennai,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Spa, Restaurant, Room service",4234.0
Maroma Suites,4.5,Chennai,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Airport shuttle, Full-service laundry, Accessible",3795.0
The Madras Grand - Hotel Egmore,4.5,Chennai,"Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Restaurant, Room service, Airport shuttle, Full-service laundry",4974.0
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",4.1,Chennai,"2-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Restaurant, Room service, Airport shuttle",3859.0
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,Delhi,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",7825.0
ट्राइडेंट होटल,4.6,Delhi,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",12272.0
Nu Delhi Homestay - Deluxe Double Room,4.6,Delhi,"House, Sleeps 2, 1 bedroom, 1 bathroom, 2 beds, Air conditioning, Crib, Fitness center, Heating",1999.0
The Leela Ambience Convention Hotel Delhi,4.5,Delhi,"5-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",9809.0
Hotel City Park- Hotels in Delhi,4.2,Delhi,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",5376.0
Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,4.6,Delhi,"Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry, Accessible",1212.0
JRD Pride,4.4,Delhi,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry",4720.0
Radisson Blu Hotel New Delhi Paschim Vihar,4.4,Delhi,"5-star hotel, Breakfast, Free Wi-Fi, Paid parking, Pool, Air conditioning, Fitness center, Spa, Bar",7285.0
IIDL Suites,4.3,Delhi,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",5720.0
Park Inn by Radisson New Delhi IP Extension,4.3,Delhi,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant",6828.0
